,number,href,name
0,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/103.xml,Theory of Arithmetic
1,112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/112.xml,Algebra
2,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/115.xml,Preparation for Calculus
3,117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/117.xml,Elementary Mathematics
4,124,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/124.xml,Finite Mathematics
5,181,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/181.xml,A Mathematical World
6,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/199.xml,Undergraduate Open Seminar
7,213,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/213.xml,Basic Discrete Mathematics
8,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/220.xml,Calculus
9,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/225.xml,Introductory Matrix Theory
10,227,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/227.xml,Linear Algebra for Data Science
11,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/231.xml,Calculus II
12,234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/234.xml,Calculus for Business I
13,241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/241.xml,Calculus III
14,257,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/257.xml,Linear Algebra with Computational Applications
15,285,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/285.xml,Intro Differential Equations
16,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/314.xml,Introduction to Higher Mathematics
17,347,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/347.xml,Fundamental Mathematics
18,357,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/357.xml,Numerical Methods I
19,362,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/362.xml,Probability with Engrg Applic
20,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH/390.xml,Individual Study
