,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/100.xml,Introductory Microbiology
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/101.xml,Intro Microbiology Laboratory
2,150,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/150.xml,Molec & Cellular Basis of Life
3,151,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/151.xml,Molec & Cellular Laboratory
4,170,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/170.xml,Society and the Brain
5,198,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/198.xml,Internship
6,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/199.xml,Undergraduate Open Seminar
7,246,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/246.xml,Human Anatomy & Physiology II
8,247,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247.xml,Human Anat & Physiol Lab II
9,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/250.xml,Molecular Genetics
10,251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/251.xml,Exp Techniqs in Molecular Biol
11,252,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252.xml,"Cells, Tissues & Development"
12,253,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/253.xml,Exp Techniqs in Cellular Biol
13,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/290.xml,Undergraduate Research
14,292,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/292.xml,Experiential Learning in MCB
15,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/297.xml,MCB Honors Discussion
16,298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/298.xml,MCB Honors Lab Discussion
17,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/299.xml,MCB Merit Program Discussion
18,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/300.xml,Microbiology
19,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/301.xml,Experimental Microbiology
20,317,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/317.xml,Genetics and Genomics
21,354,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/354.xml,Biochem & Phys Basis of Life
22,364,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/364.xml,Eukaryotic Cell Biology Laboratory
23,406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/406.xml,Gene Expression & Regulation
24,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/410.xml,"Developmental Biology, Stem Cells and Regenerative Medicine"
25,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/424.xml,Microbial Biochemistry
26,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/430.xml,Molecular Microbiology
27,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/434.xml,Food & Industrial Microbiology
28,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/435.xml,Evolution of Infectious Disease
29,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/442.xml,Comparative Immunobiology
30,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/446.xml,Physical Biochemistry
31,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/450.xml,Introductory Biochemistry
32,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/460.xml,Neuroanatomy Laboratory
33,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/462.xml,Integrative Neuroscience
34,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/465.xml,Human Metabolic Disease
35,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/466.xml,Neuro & Molecular Pharmacology
36,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/480.xml,Eukaryotic Cell Signaling
37,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/492.xml,Senior Thesis
38,493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/493.xml,Special Topics Mol Cell Biol
39,529,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/529.xml,Special Topics in Cell and Developmental Biology
40,530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/530.xml,Reproductive Physiol Seminar
41,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/543.xml,Interdisciplinary Approaches to Neuroscience II
42,545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/545.xml,Functional Genomics in Principle and Practice
43,553,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/553.xml,Enzyme Reaction Mechanisms
44,571,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/571.xml,Bioinformatics
45,581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/581.xml,Laboratory Rotation I
46,582,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/582.xml,Laboratory Rotation II
47,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/583.xml,Laboratory Rotation III
48,585,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/585.xml,Current Topics in Microbiology
