,number,href,name
0,183,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/183.xml,Introductory Materials Science and Engineering Laboratory
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/199.xml,Undergraduate Open Seminar
2,206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/206.xml,Mechanics for MatSE
3,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/280.xml,Engineering Materials
4,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/304.xml,Electronic Properties of Matls
5,308,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/308.xml,Materials Laboratory II
6,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/396.xml,Introduction to Research
7,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/397.xml,Independent Study
8,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/402.xml,Kinetic Processes in Materials
9,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404.xml,Laboratory Studies in Materials Science and Engineering
10,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/405.xml,Microstructure Determination
11,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/420.xml,Ceramic Materials & Properties
12,422,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/422.xml,Electrical Ceramics
13,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/441.xml,Metals Processing
14,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/450.xml,Polymer Science & Engineering
15,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/455.xml,Macromolecular Solids
16,458,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/458.xml,Polymer Physics
17,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/460.xml,Electronic Materials I
18,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/466.xml,Electrochemical Energy Conversion
19,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/473.xml,Biomolecular Materials Science
20,474,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/474.xml,Biomaterials and Nanomedicine
21,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/481.xml,Electron Microscopy
22,487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/487.xml,Materials for Nanotechnology
23,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/492.xml,Lab Safety Fundamentals
24,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/495.xml,Materials Design
25,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/497.xml,Independent Study
26,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/499.xml,Senior Thesis
27,529,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/529.xml,Hard Materials Seminar
28,559,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/559.xml,Soft Materials Seminar
29,581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/581.xml,Advanced Electron Microscopy
30,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/583.xml,Dynamics of Complex Fluids
31,585,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/585.xml,Materials Engrg Practicum
32,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/590.xml,Research Seminars
33,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/595.xml,Materials Colloquium
34,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/597.xml,Independent Study
35,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/598.xml,Special Topics
36,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/599.xml,Thesis Research
