,number,href,name
0,090,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/090.xml,Seminar in Music Education
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/102.xml,Music Theory and Practice II
2,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/103.xml,Rudiments of Music Theory I
3,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/105.xml,Computation and Music I
4,106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/106.xml,Beginning Composition
5,108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/108.xml,Musicianship II
6,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/110.xml,Introd Art Mus: Intl Perspect
7,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/120.xml,English Diction
8,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/122.xml,German Diction
9,125,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/125.xml,English Diction and Dialects
10,127,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/127.xml,Beatmaking I
11,128,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/128.xml,DJing I
12,130,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/130.xml,Music Then and Now
13,132,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/132.xml,Popular Music Studies
14,133,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/133.xml,Introduction to World Music
15,140,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/140.xml,String Instrument Class
16,144,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/144.xml,Supp WW Inst: Clarinet
17,146,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/146.xml,Supp WW Inst: Flute
18,147,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/147.xml,Supp WW Inst: Oboe
19,148,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/148.xml,Supp WW Inst: Saxophone
20,149,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/149.xml,Supp WW Inst: Bassoon
21,151,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/151.xml,Supp Brass Inst: Trumpet
22,153,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/153.xml,Supp Brass Inst: Horn
23,154,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/154.xml,Supp Brass Inst: Trombone
24,155,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/155.xml,Supp Brass Inst: Euph/Tuba
25,158,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/158.xml,Supp Percussion Instruments
26,164,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/164.xml,Jazz Keyboard Studies II
27,166,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/166.xml,Fundamentals of Improvisation: Jazz and Beyond
28,169,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/169.xml,Unit One Sem Instruct in Music
29,172,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/172.xml,Grp Instr Pno for Mus Major I
30,175,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS/175.xml,Grp Instr Pno for Mus Maj IV
