,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/101.xml,Introduction to Energy Sources
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/199.xml,Undergraduate Open Seminar
2,247,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/247.xml,Modeling Nuclear Energy System
3,349,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/349.xml,Introduction to NPRE Heat Transfer
4,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/397.xml,Independent Study
5,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/402.xml,Nuclear Power Engineering
6,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/412.xml,Nuclear Power Econ & Fuel Mgmt
7,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/421.xml,Plasma and Fusion Science
8,429,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/429.xml,Plasma Engineering
9,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/441.xml,Radiation Protection
10,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/442.xml,Radioactive Waste Management
11,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/451.xml,NPRE Laboratory
12,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/455.xml,Neutron Diffusion & Transport
13,458,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/458.xml,Design in NPRE
14,470,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/470.xml,Fuel Cells & Hydrogen Sources
15,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/475.xml,Wind Power Systems
16,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/480.xml,Energy and Security
17,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/483.xml,Seminar on Security
18,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/498.xml,Special Topics
19,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/521.xml,Interact of Radiation w/Matter
20,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/526.xml,Plasma-Material Interactions
21,554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/554.xml,Independent Lab Investigations
22,558,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/558.xml,Advanced Design in NPRE
23,561,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/561.xml,Advanced Risk Analysis for Technological Systems
24,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/596.xml,Seminar in Nuclear Sci & Engrg
25,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/597.xml,Independent Study
26,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE/599.xml,Thesis Research
