,number,href,name
0,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/426.xml,Biochemical Nutrition I
1,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/427.xml,Biochemical Nutrition II
2,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/440.xml,Applied Statistical Methods I
3,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/500.xml,Nutritional Sciences Seminar
4,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/510.xml,Topics in Nutrition Research
5,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/511.xml,Regulation of Metabolism
6,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/520.xml,Protein and Energy Nutrition
7,522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/522.xml,Dietary Prevention of Cardiovascular and Other Chronic Diseases
8,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/526.xml,Adv Companion Animal Nutrition
9,561,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/561.xml,Advanced Clinical Nutrition
10,582,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/582.xml,Personalized Nutrition
11,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/583.xml,Nutrition Policy
12,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/590.xml,Disciplinary Seminar
13,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591.xml,Animal Sciences Seminar
14,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/593.xml,Individual Topics in Nutrition
15,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/599.xml,Thesis Research
