,number,href,name
0,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/290.xml,Undergraduate Research
1,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/410.xml,Comparative Immunobiology
2,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/494.xml,Pathobiology
3,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/520.xml,Applied Epidemiology
4,523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/523.xml,Responsible Conduct of Biomedical Research
5,527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/527.xml,Parasitology/Epidemiology Sem
6,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/542.xml,Ocular Pathology
7,545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/545.xml,Vet Diagnostic Path 1
8,546,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/546.xml,Vet Diagnostic Path 2
9,547,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/547.xml,Pathology Seminar
10,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/551.xml,Interpretive Cytopathology
11,552,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/552.xml,Diagnostic Cytology
12,556,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/556.xml,Exotic/Wild Animal Diag Path 1
13,557,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/557.xml,Exotic/Wild Animal Diag Path 2
14,558,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/558.xml,Exotic/Wild Animal Path Sem
15,559,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/559.xml,Surgical Pathology
16,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/575.xml,Vet Info Tech/Computer App
17,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/576.xml,Communication Vet Consultation
18,577,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/577.xml,Vet Leadership Organ Behavior
19,578,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/578.xml,Veterinary Business Management
20,579,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/579.xml,Adv Concept Swine Health Med 1
21,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/590.xml,Seminar
22,592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/592.xml,Special Problems
23,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/596.xml,Interdisciplinary Tox Sem
24,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/598.xml,Non-Thesis Research
25,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/599.xml,Thesis Research
26,692,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH/692.xml,Special Problems
