,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/101.xml,College Physics: Mech & Heat
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102.xml,College Physics: E&M & Modern
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/199.xml,Undergraduate Open Seminar
3,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/211.xml,University Physics: Mechanics
4,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212.xml,University Physics: Elec & Mag
5,213,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/213.xml,Univ Physics: Thermal Physics
6,214,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/214.xml,Univ Physics: Quantum Physics
7,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/221.xml,Enrichment Mechanics
8,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/225.xml,Relativity & Math Applications
9,246,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/246.xml,Physics on the Silicon Prairie: An Introduction to Modern Computational Physics
10,325,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/325.xml,Classical Mechanics I
11,326,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/326.xml,Classical Mechanics II
12,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/370.xml,Introduction to Quantum Information and Computing
13,394,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/394.xml,Pedagogy and Teaching Physics for Learning Assistants
14,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/395.xml,Studies on the Pedagogy and Structure of the Physics Learning Assistant Program
15,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/401.xml,Classical Physics Lab
16,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/402.xml,Light
17,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/403.xml,Modern Experimental Physics
18,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/404.xml,Electronic Circuits
19,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/407.xml,Experimental Biological Physics
20,419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/419.xml,"Space, Time, and Matter-ACP"
21,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/420.xml,"Space, Time, and Matter"
22,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/427.xml,Thermal & Statistical Physics
23,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/435.xml,Electromagnetic Fields I
24,436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/436.xml,Electromagnetic Fields II
25,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/446.xml,Modern Computational Physics
26,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/460.xml,Condensed Matter Physics
27,470,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/470.xml,Subatomic Physics
28,486,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/486.xml,Quantum Physics I
29,487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/487.xml,Quantum Physics II
30,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/496.xml,Communicating in Physics—Writing Papers and Giving Talks
31,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/497.xml,Individual Study
32,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/498.xml,Special Topics in Physics
33,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/504.xml,Statistical Physics
34,509,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/509.xml,Mathematical Physics II
35,513,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/513.xml,Quantum Optics & Information
36,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/516.xml,General Relativity II
37,523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/523.xml,Instrumentation and Applied Physics Project
38,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/525.xml,Survey of Fundamental Device Physics
39,560,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/560.xml,Condensed Matter Physics I
40,565,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/565.xml,Theory of Semicond & Devices
41,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/576.xml,Particle Physics II
42,581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/581.xml,Quantum Mechanics II
43,583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/583.xml,Advanced Field Theory
44,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/595.xml,Communicating Scientific Research
45,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/597.xml,Individual Study
46,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/598.xml,Special Topics in Physics
47,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/599.xml,Thesis Research
