,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/100.xml,Intro to Political Science
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/101.xml,Intro to US Gov & Pol
2,125,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/125.xml,Washington Experience
3,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/201.xml,US Racial & Ethnic Politics
4,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/220.xml,Intro to Public Policy
5,224,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/224.xml,Politics of the National Parks
6,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/225.xml,Environmental Politics & Policy
7,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/231.xml,Strategic Models
8,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/242.xml,Introduction to Modern Africa
9,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/270.xml,Intro to Political Theory
10,273,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/273.xml,Environment and Society
11,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/280.xml,Intro to Intl Relations
12,281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/281.xml,Intro to Intl Relations-ACP
13,282,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/282.xml,Governing Globalization
14,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/300.xml,Special Topics
15,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/301.xml,The US Constitution I
16,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/302.xml,The US Constitution II
17,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/303.xml,The US Congress
18,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/305.xml,The US Supreme Court
19,307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/307.xml,Separation of Powers
20,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/311.xml,Political Parties in the US
21,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/314.xml,Political Psychology
22,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/316.xml,Latina/Latino Politics
23,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/321.xml,Principles of Public Policy
24,322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/322.xml,Law and Public Policy
25,343,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/343.xml,Gov & Pol of China
26,344,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS/344.xml,Government and Politics of Japan
