,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100.xml,Intro Psych
1,144,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/144.xml,"Stereotypes, Prejudice & Discrimination"
2,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/201.xml,Intro to Social Psych
3,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/210.xml,Behavioral Neuroscience
4,216,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/216.xml,Child Psych
5,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/220.xml,Images of Mind
6,224,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/224.xml,Cognitive Psych
7,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/225.xml,"Language, Mind, and Brain"
8,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/230.xml,Perception & Sensory Processes
9,235,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/235.xml,Intro to Statistics
10,238,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/238.xml,Psychopathology and Problems in Living
11,239,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/239.xml,Community Psych
12,245,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/245.xml,Industrial Org Psych
13,248,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/248.xml,Learning and Memory
14,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/250.xml,Psych of Personality
15,255,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/255.xml,Decisions & Judgement
16,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/290.xml,Research Experience in Psych
17,296,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/296.xml,Introduction to Current Topics in Psychology
18,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/301.xml,Psychological Statistics
19,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/302.xml,Applied Neuroscience
20,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/311.xml,Behavioral Neuroscience Lab
21,318,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/318.xml,Psych of the Infant
22,322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/322.xml,Introduction to Intellectual Disability
23,328,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/328.xml,Psychology of Gender
24,329,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/329.xml,Animal Behavior
25,331,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/331.xml,Cognitive Psych Lab
26,333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/333.xml,Social Psych in Society Lab
27,339,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/339.xml,Restorative Justice: Principles and Methods
28,341,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/341.xml,Advanced Community Projects
29,355,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/355.xml,The Attentive Mind
30,358,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/358.xml,Human Factors
31,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/361.xml,The Psychology of Aging
32,363,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/363.xml,Developmental Child Psych Lab
33,379,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/379.xml,Clinical/Abnormal Psych Lab
34,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/396.xml,Intermediate Current Topics in Psychology
35,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/398.xml,Junior Honors Seminar
36,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/402.xml,Intro Clin Neuropsych
37,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/404.xml,Cognitive Neuroscience
38,414,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/414.xml,"Brain, Learning, and Memory"
39,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/416.xml,African American Psychology
40,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/420.xml,Theories of Psychotherapy
41,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/427.xml,Language and the Brain
42,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/432.xml,Genes and Behavior
43,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/443.xml,Psychophysiology in Ex & Sport
44,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/445.xml,Cognitive Neuroscience Lab
45,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/455.xml,Organizational Psych
46,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/465.xml,Personality and Soc Dev
47,468,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/468.xml,Psych and Law
48,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/492.xml,Capstone Undergrad Research
49,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/494.xml,Advanced Research in Psych
50,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/496.xml,Adv Current Topics in Psych
51,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/499.xml,Senior Honors Seminar II
52,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/500.xml,Professional Develop for Psych
53,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/501.xml,Best Psych Research Practices
54,507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/507.xml,Statistical Methods II
55,518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/518.xml,Exp Psych Human Learn
56,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/521.xml,Knowledge Representation
57,541,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/541.xml,Personality and Behav Dynamics
