,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101.xml,Engineering Graphics & Design
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/199.xml,Undergraduate Open Seminar
2,261,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/261.xml,Business Side of Engineering
3,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/290.xml,ISE Undergraduate Seminar
4,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/297.xml,Independent Study
5,298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/298.xml,Special Topics
6,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/310.xml,Design of Structures and Mechanisms
7,311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/311.xml,Engineering Design Analysis
8,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/312.xml,Instrumentation and Test Lab
9,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/397.xml,Independent Study
10,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/400.xml,Engineering Law
11,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/411.xml,Reliability Engineering
12,413,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/413.xml,Engineering Design Optimization
13,422,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/422.xml,Robot Dynamics and Control
14,423,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/423.xml,Mechatronics
15,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/424.xml,State Space Design for Control
16,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/494.xml,Senior Engineering Project I
17,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/495.xml,Senior Engineering Project II
18,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/497.xml,Independent Study
19,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/520.xml,Analysis of Nonlinear Systems
20,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/521.xml,Multivariable Control Design
21,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/525.xml,Control of Complex Systems
22,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/590.xml,Seminar
23,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/594.xml,Project Design
24,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/597.xml,Independent Study
25,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/598.xml,Special Topics
26,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/599.xml,Thesis Research
