,number,href,name
0,117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/117.xml,The Culture of Disability
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/199.xml,Undergraduate Open Seminar
2,322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/322.xml,Introduction to Intellectual Disability
3,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/391.xml,Thesis
4,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/395.xml,Independent Study
5,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/405.xml,General Educator's Role in Special Education
6,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/410.xml,Principles of Universal Design for Learning & Models for Understanding Disability
7,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/412.xml,Understanding Special Education Law & Ethics
8,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/426.xml,Preparing for Professional Practice
9,438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/438.xml,Collaboration with Diverse Families in Special Education
10,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/441.xml,Instructional Strategies II
11,447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/447.xml,Curriculum Development II
12,448,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/448.xml,Curriculum Development III
13,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/460.xml,Communication and Physical Disabilities
14,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/471.xml,Individualized Behavior Supports for Students with Disabilities
15,524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/524.xml,Supervised Practice in Special Education
16,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/525.xml,Seminar in Trauma-Informed Education
17,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/526.xml,Collaborative Leaders in Special Education
18,566,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/566.xml,Leadership in Early Childhood Special Education
19,585,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/585.xml,Individual Differences: B to 6
20,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/590.xml,Seminar for Advanced Students
21,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/591.xml,Field Study and Thesis Seminar
22,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/593.xml,Concepts and Issues in Special Education II
23,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/595.xml,Independent Study
24,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED/599.xml,Thesis Research
