,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/199.xml,Undergraduate Open Seminar
1,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210.xml,Introduction to Statics
2,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/211.xml,Statics
3,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/212.xml,Introductory Dynamics
4,251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/251.xml,Introductory Solid Mechanics
5,252,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/252.xml,Solid Mechanics Design
6,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/270.xml,Design for Manufacturability
7,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/297.xml,Introductory Independent Study
8,324,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/324.xml,Behavior of Materials
9,335,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335.xml,Introductory Fluid Mechanics
10,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/412.xml,Intermediate Dynamics
11,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/445.xml,Continuum Mechanics
12,456,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/456.xml,Experimental Stress Analysis
13,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/497.xml,Independent Study
14,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/498.xml,Special Topics
15,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/500.xml,Seminar
16,514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/514.xml,Elastodynamics and Vibrations
17,524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/524.xml,Micromechanics of Materials
18,532,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/532.xml,Viscous Flow
19,534,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/534.xml,Non-Newtonian Fluid Mechanics & Rheology
20,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/539.xml,Fluid Mechanics Seminar
21,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/542.xml,Mathematical Methods II
22,552,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/552.xml,Solid Mechanics II
23,574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/574.xml,Adv Finite Element Methods
24,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/597.xml,Advanced Independent Study
25,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/598.xml,Advanced Special Topics
26,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/599.xml,Thesis Research
