,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/100.xml,Practicum I
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/101.xml,Introduction to Theatre Arts
2,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/110.xml,Broadway Musicals
3,119,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/119.xml,BFA Production Seminar
4,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/122.xml,Theatre Foundations: Theory and Practice
5,151,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/151.xml,Introduction to Digital Audio Workstations
6,170,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/170.xml,Fundamentals of Acting I
7,175,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/175.xml,Fundamentals of Acting II
8,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/199.xml,Undergraduate Open Seminar
9,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200.xml,Practicum II
10,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/208.xml,21st Century Dramaturgy
11,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/212.xml,Introduction to Directing
12,218,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/218.xml,Intro to Social Issues Theatre
13,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/222.xml,Introduction to Scenic Design
14,223,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/223.xml,Introduction to Stage Rigging
15,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/231.xml,Intro to Lighting Design
16,263,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/263.xml,Introduction to African American Theatre
17,275,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/275.xml,Relationships in Acting II
18,276,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/276.xml,Voice and Movement II
19,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300.xml,Practicum III
20,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/304.xml,Global Theatre Performance
21,359,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/359.xml,Professional Stage Management
22,364,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/364.xml,Topics in Theatre History
23,375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/375.xml,Acting Studio II: Dynamics
24,376,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/376.xml,Acting Studio II: Voice
25,377,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/377.xml,Acting Studio II: Movement
26,378,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/378.xml,Acting Studio II: Acting
27,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/391.xml,Individual Topics
28,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/392.xml,Individual Topics
29,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/399.xml,Undergraduate Group Seminar
30,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/400.xml,Practicum IV
31,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/405.xml,Assistant & Associate Lighting Design
32,406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/406.xml,Opera/Dance Stage Management
33,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/407.xml,Production Management
34,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/410.xml,Dramaturgs Workshop
35,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/411.xml,Playwrights' Workshop
36,417,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/417.xml,Leading Post-Perform Dialog
37,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/418.xml,Devising Social Issues Theatre
38,419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/419.xml,Theatrical CAD Drafting
39,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/421.xml,Welding for the Stage
40,422,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/422.xml,Structures for the Stage
41,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/425.xml,Advanced Scenographic Drafting
42,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/426.xml,History of Decor
43,428,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/428.xml,Scenic Painting II
44,429,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/429.xml,Scenic Technology Topics
45,431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/431.xml,The Lighting Laboratory
46,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/434.xml,Advanced Lighting Seminar
47,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/441.xml,Advanced Costume Construction
48,443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/443.xml,Flat Pattern Drafting
49,447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/447.xml,Costume Rendering
50,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/450.xml,Management Seminar
51,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/454.xml,Sound Design I
52,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/455.xml,Sound Design II
53,458,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/458.xml,Digital Rendering Techniques
54,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/462.xml,Advanced Media Design
55,468,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/468.xml,Minoritarian Aesthetics Practicum
56,469,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/469.xml,Scenic Painting III
57,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/475.xml,Acting Studio IV: Dynamics
58,476,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/476.xml,Acting Studio IV: Voice
59,477,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/477.xml,Acting Studio IV: Movement
60,478,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/478.xml,Acting Studio IV: Acting
61,479,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/479.xml,Preparation for Auditions
62,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/481.xml,Content Creation 1: Camera and Editing for Media Design
63,485,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/485.xml,Prop Furniture Construction
64,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/489.xml,Leatherworking Techniques
65,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/490.xml,Professional Internship
66,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/491.xml,Advanced CAD Drafting for Lighting Designers
67,493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/493.xml,Lighting Opera & Musicals
68,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/495.xml,Capstone Project
69,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/496.xml,Professional Exploration
70,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/498.xml,Audio Engineering II
71,522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/522.xml,Structures for the Stage II
72,530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/530.xml,Technical Direction II
73,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/550.xml,Colloquium Design & Theat Tech
74,559,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/559.xml,Topics in Stage Management
75,562,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/562.xml,Seminar in Theatre Theory
76,571,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/571.xml,Colloquium in Acting: Dynamics
77,572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/572.xml,Colloquium in Acting: Voice
78,573,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/573.xml,Colloquium in Acting: Movement
79,574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/574.xml,Colloquium in Acting: Acting
80,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/591.xml,Special Problems
81,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/595.xml,Creative Project
82,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/599.xml,Thesis Research
