,number,href,name
0,116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/116.xml,Urban Informatics I
1,136,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/136.xml,Urban Sustainability
2,160,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/160.xml,"Race, Social Justice, and Cities"
3,185,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/185.xml,Cities in a Global Perspective
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/199.xml,Undergraduate Open Seminar
5,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/201.xml,Planning in Action
6,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/204.xml,Chicago: Planning & Urban Life
7,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/205.xml,Ecology & Environmental Sustainability
8,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/210.xml,Environmental Economics
9,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/211.xml,"Local Planning, Gov't and Law"
10,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/230.xml,Transportation Planning: Fundamentals and Innovations
11,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/316.xml,Urban Informatics II
12,347,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/347.xml,Junior Planning Workshop
13,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/390.xml,Planning Internship
14,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/397.xml,Undergraduate Project
15,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/401.xml,Professional Development Seminar
16,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/407.xml,State and Local Public Finance
17,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/418.xml,GIS for Planners
18,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/427.xml,Digital Storytelling
19,431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/431.xml,Urban Transportation Modeling
20,437,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/437.xml,Public Transportation Planning
21,438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/438.xml,Disasters and Urban Planning
22,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/446.xml,Sustainable Planning Seminar
23,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/475.xml,Real Estate Development Fundamentals
24,476,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/476.xml,The City Through the Body
25,478,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/478.xml,Community Development Workshop
26,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/480.xml,Sustainable Design Principles
27,486,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/486.xml,Planning with Climate Change
28,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/494.xml,Special Topics in Planning
29,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/504.xml,Urban History and Theory
30,509,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/509.xml,Economics for Planners
31,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/510.xml,Plan Making
32,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/511.xml,Law and Planning
33,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/526.xml,City Design and Development
34,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/576.xml,Sustainable Urban Systems
35,580,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/580.xml,Advanced Planning Theory
36,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/590.xml,Professional Internship
37,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/591.xml,Capstone Seminar
38,592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/592.xml,Doctoral Urban Planning Seminar
39,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/596.xml,Independent Study
40,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/597.xml,Urban Planning Research
41,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/598.xml,Master's Project
42,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP/599.xml,Thesis Research
