,number,href,name
0,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/501.xml,Zoological Medicine Seminar
1,503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/503.xml,Current Lit in Equine Med Surg
2,506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/506.xml,Topics in Pathophysiology
3,513,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/513.xml,Science of Health Homeostasis
4,514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/514.xml,Science of Health Evaluation
5,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/515.xml,The Dynamics of the Immune System in the Maintenance and Defense of Health
6,522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/522.xml,Adv Comp Theriogenology
7,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/535.xml,Small Animal Internal Medicine Book Club
8,536,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/536.xml,ECC Journal Topics
9,540,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/540.xml,Conservation and Ecosystem Health
10,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/542.xml,Ocular Pathology
11,561,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/561.xml,Biosecurity in Livestock Systems
12,565,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/565.xml,"Biostatistics, Information Management, and Data Analytics for Livestock Production Systems"
13,568,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/568.xml,A Systems-Based Approach to the Operation of Livestock-Based Food Production Systems I
14,577,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/577.xml,Advanced Large Animal Medicine
15,584,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/584.xml,Current Concepts Comp Surgery
16,585,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/585.xml,Current Lit Sm Anim Medicine
17,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/590.xml,Seminar
18,592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/592.xml,Special Problems
19,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/593.xml,Adv Topics Vet Clin Med
20,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/595.xml,MVS Integrative Learning Experience
21,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/598.xml,Manuscript Research
22,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/599.xml,Thesis Research
23,608,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/608.xml,Equine Veterinary Husbandry
24,625,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/625.xml,Zoological Companion Mammal Medicine
25,627,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/627.xml,Equine Infectious Disease
26,628,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/628.xml,The Healer's Art
27,641,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/641.xml,Equine Neonatology
28,645,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/645.xml,Equine Surgery Laboratory
29,661,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/661.xml,Advanced Equine Lameness
30,663,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/663.xml,Small Animal Dermatology
31,667,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/667.xml,Ethics and Conflict in Zoological Medicine
32,673,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/673.xml,Companion Animal Rehab
33,674,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/674.xml,Equine Exercise Physiology
34,682,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/682.xml,Wildlife Medicine
35,688,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/688.xml,Food Supply Disease Management
36,690,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/690.xml,Intro to Food Supply Medicine
37,692,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM/692.xml,Special Problems
