,crn,href,section_name
0,69781,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/69781.xml,AB 
1,30107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/30107.xml,AD1
2,41729,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/41729.xml,AD2
3,43832,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/43832.xml,AD3
4,48232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/48232.xml,AD4
5,48234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/48234.xml,AD5
6,50105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/50105.xml,AD6
7,54572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/54572.xml,AD7
8,51886,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/51886.xml,AD8
9,70761,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/70761.xml,AD9
10,70762,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/70762.xml,ADA
11,30106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS/100/30106.xml,AL1
