,crn,href,section_name
0,30112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/30112.xml,AD1
1,30113,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/30113.xml,AD2
2,30114,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/30114.xml,AD3
3,30115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/30115.xml,AD4
4,30116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/30116.xml,AD5
5,30117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/30117.xml,AD6
6,45631,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/45631.xml,AD7
7,68828,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/68828.xml,AD8
8,68829,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/68829.xml,AD9
9,68830,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/68830.xml,ADA
10,68831,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/68831.xml,ADB
11,70222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/70222.xml,ADC
12,30118,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/30118.xml,AL1
13,68539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/68539.xml,AL2
14,51202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201/51202.xml,AL3
