,crn,href,section_name
0,74341,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74341.xml,AB1
1,74342,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74342.xml,AB2
2,74343,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74343.xml,AB3
3,74344,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74344.xml,AB4
4,74345,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74345.xml,AB5
5,74346,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74346.xml,AB6
6,74347,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74347.xml,AB7
7,74348,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74348.xml,AB8
8,74350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/74350.xml,AB9
9,60077,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV/150/60077.xml,AL1
