,crn,href,section_name
0,30000,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30000.xml,A  
1,41751,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41751.xml,A1 
2,44582,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44582.xml,A2 
3,30001,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30001.xml,B0 
4,41752,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41752.xml,B1 
5,44583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44583.xml,B2 
6,30002,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30002.xml,C0 
7,41755,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41755.xml,C1 
8,44585,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44585.xml,C2 
9,30003,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30003.xml,D0 
10,41783,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41783.xml,D1 
11,44586,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44586.xml,D2 
12,30004,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30004.xml,E0 
13,41784,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41784.xml,E1 
14,30005,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30005.xml,F0 
15,41786,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41786.xml,F1 
16,44592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44592.xml,F2 
17,30006,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30006.xml,G0 
18,41787,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41787.xml,G1 
19,30007,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30007.xml,H0 
20,41788,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41788.xml,H1 
21,44596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44596.xml,H2 
22,30008,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30008.xml,I  
23,41789,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41789.xml,I1 
24,44597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44597.xml,I2 
25,30012,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30012.xml,M0 
26,41791,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/41791.xml,M1 
27,44601,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44601.xml,M2 
28,44593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/44593.xml,PM 
29,30011,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590/30011.xml,PM1
