,crn,href,section_name
0,71694,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71694.xml,AD2
1,71695,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71695.xml,AD3
2,71696,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71696.xml,AD4
3,71697,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71697.xml,AD5
4,71698,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71698.xml,AD6
5,71034,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71034.xml,AL 
6,71701,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71701.xml,DD3
7,71703,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71703.xml,DD4
8,71704,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71704.xml,DD5
9,71707,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/71707.xml,DD6
10,68637,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BADM/210/68637.xml,DL 
