,crn,href,section_name
0,69594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/69594.xml,DG2
1,64045,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/64045.xml,DGS
2,55609,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/55609.xml,F  
3,41974,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/41974.xml,K  
4,32559,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/32559.xml,M  
5,67693,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/67693.xml,M1 
6,67694,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/67694.xml,M2 
7,67695,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/67695.xml,M3 
8,67696,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/67696.xml,M4 
9,67698,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/67698.xml,M5 
10,67699,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/67699.xml,M6 
11,67700,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199/67700.xml,M7 
