,crn,href,section_name
0,30931,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/30931.xml,A  
1,43288,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43288.xml,B  
2,43289,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43289.xml,C  
3,43290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43290.xml,D  
4,43291,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43291.xml,E  
5,43292,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43292.xml,F  
6,43293,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43293.xml,G  
7,43294,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43294.xml,H  
8,43295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43295.xml,I  
9,43296,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CIC/500/43296.xml,J  
