,crn,href,section_name
0,43436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/43436.xml,AD1
1,48827,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/48827.xml,AD2
2,56814,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/56814.xml,AL1
3,31968,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/31968.xml,BD1
4,48711,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/48711.xml,BD2
5,49877,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/49877.xml,BD3
6,48828,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/48828.xml,BD4
7,56816,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/56816.xml,BL2
8,49879,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/49879.xml,CD1
9,31965,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CI/473/31965.xml,CL1
