,crn,href,section_name
0,77006,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/77006.xml,A07
1,77005,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/77005.xml,A08
2,77004,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/77004.xml,A09
3,71774,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/71774.xml,A10
4,70183,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/70183.xml,AD1
5,70184,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/70184.xml,AD2
6,70185,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/70185.xml,AD3
7,70186,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/70186.xml,AD4
8,70187,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/70187.xml,AD5
9,70188,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/70188.xml,AD6
10,71771,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/71771.xml,AD7
11,71772,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/71772.xml,AD8
12,71773,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/71773.xml,AD9
13,70182,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224/70182.xml,AL 
