,crn,href,section_name
0,71422,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71422.xml,D1 
1,71433,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71433.xml,D10
2,71435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71435.xml,D11
3,71438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71438.xml,D12
4,71440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71440.xml,D13
5,71442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71442.xml,D14
6,71443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71443.xml,D15
7,71444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71444.xml,D16
8,71445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71445.xml,D17
9,71446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71446.xml,D18
10,71447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71447.xml,D19
11,71423,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71423.xml,D2 
12,71448,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71448.xml,D20
13,71449,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71449.xml,D21
14,71450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71450.xml,D22
15,71451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71451.xml,D23
16,71452,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71452.xml,D24
17,71454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71454.xml,D25
18,71457,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71457.xml,D27
19,71458,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71458.xml,D28
20,71459,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71459.xml,D29
21,71424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71424.xml,D3 
22,71460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71460.xml,D30
23,71461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71461.xml,D31
24,71462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71462.xml,D32
25,71463,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71463.xml,D33
26,71464,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71464.xml,D34
27,71466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71466.xml,D35
28,74588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/74588.xml,D36
29,71425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71425.xml,D4 
30,71427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLE/799/71427.xml,D5 
