,crn,href,section_name
0,31625,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/31625.xml,ACT
1,31655,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/31655.xml,BAI
2,48788,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/48788.xml,CAP
3,31631,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/31631.xml,CS 
4,40245,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/40245.xml,CSC
5,31637,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/31637.xml,DEI
6,53701,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/53701.xml,FM 
7,31646,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/31646.xml,IC 
8,40248,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/40248.xml,IG 
9,54211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/54211.xml,MLR
10,44443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/44443.xml,SN 
11,69942,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/69942.xml,SP 
12,54573,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/54573.xml,TA 
13,47351,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/591/47351.xml,TAO
