,crn,href,section_name
0,74598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/74598.xml,AD7
1,74594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/74594.xml,ADB
2,74595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/74595.xml,ADC
3,74596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/74596.xml,ADD
4,74597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/74597.xml,ADE
5,75807,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/75807.xml,ADF
6,74599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/74599.xml,ADG
7,75808,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/75808.xml,ADH
8,75809,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/75809.xml,ADI
9,70581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC/230/70581.xml,GP 
