,crn,href,section_name
0,61635,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61635.xml,BD1
1,61636,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61636.xml,BD2
2,61637,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61637.xml,BD3
3,61639,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61639.xml,BD4
4,61638,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61638.xml,BD5
5,61640,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61640.xml,BD6
6,61641,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61641.xml,BD7
7,61642,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61642.xml,BD8
8,61643,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61643.xml,BD9
9,64369,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/64369.xml,BDA
10,61629,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/61629.xml,BL 
11,63649,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/63649.xml,BL2
12,63650,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE/220/63650.xml,BL3
