,crn,href,section_name
0,62955,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/62955.xml,3Y0
1,64416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/64416.xml,3Y2
2,62377,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/62377.xml,M-S
3,48182,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/48182.xml,M1 
4,61847,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/61847.xml,M2 
5,64077,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/64077.xml,M3 
6,58691,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/58691.xml,M4 
7,16669,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/16669.xml,P1 
8,66836,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/66836.xml,P2 
9,33703,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/33703.xml,P3 
10,61848,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/61848.xml,P4 
11,61846,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/61846.xml,P5 
12,69410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/69410.xml,RW1
13,33704,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/33704.xml,RW2
14,67461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON/590/67461.xml,RW3
