,crn,href,section_name
0,33768,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33768.xml,A  
1,33791,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33791.xml,AE 
2,33770,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33770.xml,E  
3,33771,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33771.xml,FF 
4,33772,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33772.xml,FG 
5,33773,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33773.xml,FL 
6,33775,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33775.xml,FS 
7,33776,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33776.xml,L  
8,33777,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33777.xml,M  
9,43507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/43507.xml,MG 
10,33778,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33778.xml,O  
11,33779,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33779.xml,P  
12,33782,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33782.xml,SB 
13,33783,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33783.xml,SC 
14,33784,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33784.xml,SE 
15,33787,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33787.xml,SP 
16,33788,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR/442/33788.xml,T  
