,crn,href,section_name
0,32524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32524.xml,AD1
1,32523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32523.xml,AD2
2,32526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32526.xml,AD3
3,32563,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32563.xml,AD4
4,32554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32554.xml,AD5
5,32531,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32531.xml,AD6
6,32540,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32540.xml,AD7
7,32556,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32556.xml,AD8
8,32519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32519.xml,AL2
9,51083,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/51083.xml,AL3
10,60404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/60404.xml,ONL
11,32562,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32562.xml,RD1
12,32522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32522.xml,RD2
13,32529,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32529.xml,RD3
14,32530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32530.xml,RD4
15,32518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/221/32518.xml,RL1
