,crn,href,section_name
0,33633,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33633.xml,ADA
1,33638,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33638.xml,ADC
2,33641,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33641.xml,ADD
3,33643,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33643.xml,ADE
4,33646,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33646.xml,ADF
5,33647,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33647.xml,ADG
6,33651,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33651.xml,ADH
7,33663,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/33663.xml,AL1
8,71674,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/71674.xml,C1 
9,70212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105/70212.xml,C2 
