,crn,href,section_name
0,39597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/39597.xml,AD1
1,39598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/39598.xml,AD2
2,39599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/39599.xml,AD3
3,39600,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/39600.xml,AD4
4,39601,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/39601.xml,AD5
5,39602,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/39602.xml,AD6
6,54515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/54515.xml,AD7
7,54516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/54516.xml,AD8
8,54517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/54517.xml,AD9
9,33842,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/33842.xml,AL1
10,52716,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100/52716.xml,B  
