,crn,href,section_name
0,48173,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48173.xml,AB1
1,48174,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48174.xml,AB2
2,48411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48411.xml,AB3
3,48412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48412.xml,AB4
4,48413,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48413.xml,AB5
5,48415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48415.xml,AB7
6,48416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48416.xml,AB8
7,48417,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48417.xml,AB9
8,51076,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/51076.xml,ABA
9,51077,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/51077.xml,ABB
10,48172,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302/48172.xml,AL1
