,crn,href,section_name
0,50981,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/50981.xml,AD1
1,50983,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/50983.xml,AD2
2,50985,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/50985.xml,AD3
3,50987,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/50987.xml,AD4
4,34259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/34259.xml,AL1
5,62804,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/62804.xml,BD1
6,62805,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/62805.xml,BD2
7,62806,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/62806.xml,BD3
8,62807,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/62807.xml,BD4
9,62803,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IE/300/62803.xml,BL1
