,crn,href,section_name
0,66397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/66397.xml,AD1
1,66398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/66398.xml,AD2
2,66401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/66401.xml,AD3
3,66403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/66403.xml,AD4
4,66404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/66404.xml,AD5
5,69965,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/69965.xml,AD6
6,69967,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/69967.xml,AD7
7,66396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/66396.xml,AL1
8,76144,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/76144.xml,NB 
9,66405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/399/66405.xml,NSP
