,crn,href,section_name
0,64062,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/64062.xml,AC 
1,45047,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/45047.xml,B  
2,56089,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/56089.xml,BG 
3,61316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/61316.xml,CS 
4,53598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/53598.xml,F1 
5,53983,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/53983.xml,F1G
6,47054,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/47054.xml,M  
7,47870,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/47870.xml,MG 
8,55793,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/55793.xml,P1G
9,51647,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/51647.xml,Z  
10,60903,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/798/60903.xml,ZG 
