,crn,href,section_name
0,75933,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/75933.xml,A10
1,76143,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/76143.xml,A11
2,77205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/77205.xml,A12
3,74972,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74972.xml,AD1
4,74973,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74973.xml,AD2
5,74974,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74974.xml,AD3
6,74975,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74975.xml,AD4
7,74976,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74976.xml,AD5
8,74977,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74977.xml,AD6
9,74978,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74978.xml,AD7
10,75072,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/75072.xml,AD8
11,75932,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/75932.xml,AD9
12,74979,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248/74979.xml,AL1
