,crn,href,section_name
0,38530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38530.xml,ADA
1,38514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38514.xml,ADB
2,38515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38515.xml,ADC
3,38517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38517.xml,ADD
4,38520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38520.xml,ADF
5,38522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38522.xml,ADG
6,38524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38524.xml,ADH
7,38525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38525.xml,ADI
8,38519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38519.xml,ADJ
9,38527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38527.xml,ADK
10,38531,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38531.xml,ADM
11,38536,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38536.xml,ADN
12,38545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38545.xml,ADO
13,38510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/252/38510.xml,AL1
