,crn,href,section_name
0,36926,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36926.xml,AB1
1,36927,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36927.xml,AB2
2,36928,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36928.xml,AB3
3,36929,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36929.xml,AB4
4,36930,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36930.xml,AB5
5,36931,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36931.xml,AB6
6,36932,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36932.xml,AB7
7,36933,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36933.xml,AB8
8,36934,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36934.xml,AB9
9,36935,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36935.xml,ABA
10,36936,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36936.xml,ABB
11,36937,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36937.xml,ABC
12,36938,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36938.xml,ABD
13,52246,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/52246.xml,ABE
14,52249,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/52249.xml,ABF
15,70807,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/70807.xml,ABG
16,70833,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/70833.xml,ABH
17,70842,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/70842.xml,ABI
18,70843,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/70843.xml,ABJ
19,36924,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36924.xml,AE1
20,36925,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/310/36925.xml,AE2
