,crn,href,section_name
0,65491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65491.xml,BA1
1,65492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65492.xml,BA2
2,65537,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65537.xml,BA3
3,65482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65482.xml,BS1
4,65483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65483.xml,BS2
5,65484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65484.xml,BS3
6,65485,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65485.xml,ELA
7,71507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/71507.xml,LD1
8,71508,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/71508.xml,LD2
9,71509,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/71509.xml,NP1
10,71510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/71510.xml,NP2
11,65493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/65493.xml,PLA
12,75838,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/75838.xml,QM1
13,75839,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/75839.xml,QM2
14,75840,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/75840.xml,QM3
15,75841,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/75841.xml,QS1
16,75842,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/75842.xml,QS2
17,75843,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE/404/75843.xml,QS3
