,crn,href,section_name
0,75329,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75329.xml,AY 
1,75346,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75346.xml,BDS
2,75315,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75315.xml,BLC
3,75341,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75341.xml,BRW
4,75908,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75908.xml,CCW
5,75338,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75338.xml,CJD
6,75318,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75318.xml,CLM
7,75326,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75326.xml,DJM
8,75331,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75331.xml,DMH
9,75322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75322.xml,EDF
10,75328,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75328.xml,GSP
11,75348,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75348.xml,IDR
12,75321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75321.xml,JBH
13,75339,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75339.xml,JD 
14,75319,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75319.xml,JEP
15,75342,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75342.xml,JLM
16,75334,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75334.xml,JS 
17,75340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75340.xml,JSK
18,75911,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75911.xml,JTG
19,75320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75320.xml,JWS
20,75347,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75347.xml,JWW
21,75332,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75332.xml,LRH
22,75317,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75317.xml,LWG
23,75323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75323.xml,MRF
24,75455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75455.xml,NG 
25,75325,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75325.xml,NL 
26,75344,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75344.xml,NMR
27,75330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75330.xml,OWD
28,75457,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75457.xml,RF 
29,75324,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75324.xml,RH 
30,75312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75312.xml,RS 
31,75439,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75439.xml,RSB
32,75370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75370.xml,RT 
33,75327,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75327.xml,SJK
34,75345,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75345.xml,ST 
35,75337,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75337.xml,SW 
36,75313,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75313.xml,SWA
37,75311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75311.xml,TJE
38,75333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75333.xml,YGR
39,75456,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/400/75456.xml,Z1 
