,crn,href,section_name
0,35773,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35773.xml,A1 
1,35774,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35774.xml,A2 
2,35775,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35775.xml,D2A
3,35776,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35776.xml,D2E
4,41529,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/41529.xml,D2J
5,35778,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35778.xml,D2M
6,35780,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35780.xml,D2R
7,46745,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/46745.xml,D3A
8,35777,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35777.xml,D3E
9,35782,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35782.xml,D3J
10,35787,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35787.xml,D3M
11,45283,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/45283.xml,D3R
12,45284,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/45284.xml,D4A
13,35786,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35786.xml,D4E
14,35785,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35785.xml,D4J
15,35779,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35779.xml,D4M
16,66941,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/66941.xml,D4R
17,35792,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35792.xml,L2A
18,35793,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35793.xml,L2E
19,35789,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35789.xml,L2M
20,45281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/45281.xml,L3A
21,45282,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/45282.xml,L3E
22,41528,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/41528.xml,L3M
23,35791,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35791.xml,L3R
24,35796,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35796.xml,L4A
25,35797,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35797.xml,L4E
26,35798,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35798.xml,L4M
27,35788,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35788.xml,L4R
28,35799,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/102/35799.xml,L5A
