,crn,href,section_name
0,68316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/68316.xml,AAP
1,37007,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37007.xml,B1 
2,37009,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37009.xml,C1 
3,40739,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/40739.xml,C4 
4,37010,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37010.xml,D1 
5,40738,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/40738.xml,D4 
6,37011,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37011.xml,E1 
7,37012,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37012.xml,F1 
8,48857,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/48857.xml,F4 
9,37013,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37013.xml,G1 
10,37014,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37014.xml,G4 
11,37017,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37017.xml,K1 
12,37018,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37018.xml,L1 
13,37019,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37019.xml,M1 
14,37020,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37020.xml,N1 
15,37006,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/37006.xml,N4 
16,45067,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC/100/45067.xml,P4 
