,crn,href,section_name
0,57727,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/57727.xml,BSS
1,67415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/67415.xml,CR 
2,43612,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/43612.xml,DL 
3,69072,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/69072.xml,ESF
4,57491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/57491.xml,IC 
5,61677,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/61677.xml,MR 
6,43108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/43108.xml,NT 
7,69094,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/69094.xml,ORC
8,59623,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/59623.xml,SS1
9,59625,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/59625.xml,SS2
10,43614,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST/199/43614.xml,SZ1
