,crn,href,section_name
0,66880,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66880.xml,ABA
1,66882,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66882.xml,ABB
2,66883,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66883.xml,ABC
3,66884,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66884.xml,ABD
4,66885,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66885.xml,ABE
5,66887,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66887.xml,ABF
6,66879,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66879.xml,AL 
7,66889,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66889.xml,BBA
8,66890,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66890.xml,BBB
9,66891,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66891.xml,BBC
10,66892,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66892.xml,BBD
11,66897,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66897.xml,BBE
12,66900,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66900.xml,BBF
13,70988,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/70988.xml,BBG
14,70992,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/70992.xml,BBH
15,66888,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE/101/66888.xml,BL 
