,crn,href,section_name
0,75931,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/75931.xml,A10
1,76142,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/76142.xml,A11
2,77190,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/77190.xml,A12
3,74784,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74784.xml,AD1
4,74785,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74785.xml,AD2
5,74786,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74786.xml,AD3
6,74788,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74788.xml,AD4
7,74789,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74789.xml,AD5
8,74790,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74790.xml,AD6
9,74791,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74791.xml,AD7
10,75066,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/75066.xml,AD8
11,75930,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/75930.xml,AD9
12,74792,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/248/74792.xml,AL1
