,crn,href,section_name
0,36262,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/36262.xml,AB1
1,36263,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/36263.xml,AB2
2,36265,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/36265.xml,AB4
3,36266,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/36266.xml,AB5
4,45456,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/45456.xml,AB6
5,52256,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/52256.xml,AB7
6,53796,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/53796.xml,AB8
7,54169,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/54169.xml,ABA
8,54171,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/54171.xml,ABC
9,36267,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/36267.xml,AE1
10,67662,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/67662.xml,AE2
11,41894,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/41894.xml,ZJ1
12,73196,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/335/73196.xml,ZJ2
