,crn,href,section_name
0,72973,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/72973.xml,A  
1,70783,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/70783.xml,AHE
2,70780,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/70780.xml,ALD
3,75413,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/75413.xml,AO 
4,72974,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/72974.xml,B  
5,75412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/75412.xml,CP 
6,73958,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/73958.xml,CR 
7,77483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/77483.xml,CS 
8,77485,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/77485.xml,CSR
9,70782,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/70782.xml,HE 
10,77486,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/77486.xml,HM 
11,70779,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/70779.xml,LD 
12,70781,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/70781.xml,P  
13,75414,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/75414.xml,RIG
14,73547,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/73547.xml,S  
15,75061,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/75061.xml,SND
16,77484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/200/77484.xml,WD 
