BuildingId,RoomNumber,Capacity,Type
ASL,107,40,Moveable Tablet Armchairs
ASL,131,72,Group Share
ASL,150,195,Theater
ARCH,120,130,Theater
ARCH,301,21,Movable Tables & Chairs
ARCH,302,53,Theater
ARMRY,101,200,Theater
ARMRY,134,35,Gather
ARMRY,136,30,Movable Tablet Armchairs
ARMRY,137,37,Movable Tablet Armchairs
ARMRY,143,39,Movable Tablet Armchairs
ARMRY,144,37,Movable Tablet Armchairs
ARMRY,145,37,Movable Tablet Armchairs
ARMRY,147,46,Theater
ARMRY,148,47,Movable Tablet Armchairs
ARMRY,241,26,Movable Tablet Armchairs
ARMRY,242,26,Movable Tablet Armchairs
ARMRY,243,26,Movable Tablet Armchairs
ARMRY,331,60,Movable Tablet Armchairs
ARMRY,333,70,Movable Tablet Armchairs
ARMRY,370,46,Movable Tablet Armchairs
ARMRY,384,53,Movable Tablet Armchairs
ARMRY,386,53,Movable Tablet Armchairs
ARMRY,428,30,Group Share
ARMRY,429,40,Movable Tablet Armchairs
ARMRY,430,40,Movable Tablet Armchairs
ARMRY,432,60,Group Share
BEV,103,40,Movable Tablet Armchairs
BEV,108,48,Movable Tablet Armchairs
BEV,132,86,Movable Tablet Armchairs
BEV,166,72,Movable Tablet Armchairs
BEV,180,216,Theater
BEV,242,43,Movable Tablet Armchairs
BEV,393,42,Movable Tablet Armchairs
BUR,124,130,Theater
CIF,18,36,Group Share
CIF,0027/1025,483,Theater
CIF,35,232,Group Share
CIF,36,24,Gather
CIF,1035,56,Gather
CIF,2018,42,Turn and Talk
CIF,2025,24,Gather
CIF,2035,187,Classroom-in-the-round
CIF,2036,40,Gather
CIF,2039,72,Gather
CIF,3018,42,Turn and Talk
CIF,3025,80,Turn and Talk
CIF,3031,174,Tiered Pods
CIF,3038,40,Gather
CIF,3039,300,Turn and Talk
CIF,4018,36,Gather
CIF,4025,112,Turn and Talk
CIF,4029,144,Gather
CIF,4031,90,Gather
CIF,4035,54,Gather
CIF,4036,36,Gather
CIF,4039,64,Turn and Talk
CB,214,24,Gather
CB,218,94,Theater
CA,1024,137,Theater
DH,113,26,Movable Tablet Armchairs
DH,132,34,Movable Tablet Armchairs
DH,136,36,Movable Tablet Armchairs
DH,169,36,Movable Tablet Armchairs
DH,212,30,Movable Tablet Armchairs
DH,214,30,Movable Tablet Armchairs
DH,215,24,Movable Tablet Armchairs
DH,312,30,Movable Tablet Armchairs
DH,313,30,Movable Tablet Armchairs
DH,329,42,Movable Tablet Armchairs
DH,336,30,Movable Tablet Armchairs
DKH,106,29,Movable Tablet Armchairs
DKH,108,29,Movable Tablet Armchairs
DKH,111,29,Movable Tablet Armchairs
DKH,113,41,Movable Tablet Armchairs
DKH,114,271,Theater
DKH,115,33,Movable Tablet Armchairs
DKH,119,65,Theater
DKH,123,65,Theater
DKH,125,41,Movable Tablet Armchairs
DKH,206,28,Movable Tablet Armchairs
DKH,209,40,Movable Tablet Armchairs
DKH,212,27,Movable Tablet Armchairs
DKH,215,42,Movable Tablet Armchairs
DKH,215B,42,Movable Tablet Armchairs
DKH,219,27,Movable Tablet Armchairs
DKH,222,27,Movable Tablet Armchairs
