,abbr,name,href
0,AAS,Asian American Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AAS.xml
1,ABE,Agricultural and Biological Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ABE.xml
2,ACCY,Accountancy,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY.xml
3,ACE,Agricultural and Consumer Economics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE.xml
4,ACES,"Agricultural, Consumer and Environmental Sciences",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACES.xml
5,ADV,Advertising,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ADV.xml
6,AE,Aerospace Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AE.xml
7,AFAS,Air Force Aerospace Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFAS.xml
8,AFRO,African American Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO.xml
9,AFST,African Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST.xml
10,AGCM,Agricultural Communications,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AGCM.xml
11,AGED,Agricultural Education,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AGED.xml
12,AHS,Applied Health Sciences Courses,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AHS.xml
13,AIS,American Indian Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AIS.xml
14,ALEC,"Agricultural Leadership, Education, and Communications Program",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ALEC.xml
15,ANSC,Animal Sciences,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC.xml
16,ANTH,Anthropology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANTH.xml
17,ARAB,Arabic,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARAB.xml
18,ARCH,Architecture,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH.xml
19,ART,Art,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ART.xml
20,ARTD,Art--Design,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTD.xml
21,ARTE,Art--Education,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE.xml
22,ARTF,Art--Foundation,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTF.xml
23,ARTH,Art--History,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH.xml
24,ARTJ,Japanese Arts and Aesthetics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTJ.xml
25,ARTS,Art--Studio,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTS.xml
26,ASRM,Actuarial Science and Risk Management,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASRM.xml
27,ASST,Asian Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASST.xml
28,ASTR,Astronomy,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR.xml
29,ATMS,Atmospheric Sciences,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS.xml
